sample_index,scaled_emg,source_file,dataset
561,616.418,emg_data.hdf5,1
562,614.932,emg_data.hdf5,1
563,616.310,emg_data.hdf5,1
564,622.328,emg_data.hdf5,1
565,626.427,emg_data.hdf5,1
566,625.718,emg_data.hdf5,1
567,618.366,emg_data.hdf5,1
568,610.315,emg_data.hdf5,1
569,597.588,emg_data.hdf5,1
570,590.842,emg_data.hdf5,1
571,597.532,emg_data.hdf5,1
572,608.732,emg_data.hdf5,1
573,613.158,emg_data.hdf5,1
574,608.289,emg_data.hdf5,1
575,600.365,emg_data.hdf5,1
576,600.170,emg_data.hdf5,1
577,599.596,emg_data.hdf5,1
578,590.576,emg_data.hdf5,1
579,578.522,emg_data.hdf5,1
580,566.410,emg_data.hdf5,1
581,558.477,emg_data.hdf5,1
582,555.605,emg_data.hdf5,1
583,556.248,emg_data.hdf5,1
584,552.926,emg_data.hdf5,1
585,547.111,emg_data.hdf5,1
586,548.468,emg_data.hdf5,1
587,552.300,emg_data.hdf5,1
588,563.841,emg_data.hdf5,1
589,573.874,emg_data.hdf5,1
590,584.252,emg_data.hdf5,1
591,591.219,emg_data.hdf5,1
592,595.241,emg_data.hdf5,1
593,595.854,emg_data.hdf5,1
594,593.136,emg_data.hdf5,1
595,592.380,emg_data.hdf5,1
596,595.815,emg_data.hdf5,1
597,599.696,emg_data.hdf5,1
598,602.751,emg_data.hdf5,1
599,601.255,emg_data.hdf5,1
600,595.067,emg_data.hdf5,1
601,590.081,emg_data.hdf5,1
602,578.534,emg_data.hdf5,1
603,576.370,emg_data.hdf5,1
604,577.365,emg_data.hdf5,1
605,575.611,emg_data.hdf5,1
606,567.954,emg_data.hdf5,1
607,561.740,emg_data.hdf5,1
608,563.301,emg_data.hdf5,1
609,568.656,emg_data.hdf5,1
610,571.016,emg_data.hdf5,1
611,569.443,emg_data.hdf5,1
612,573.305,emg_data.hdf5,1
613,583.666,emg_data.hdf5,1
614,592.568,emg_data.hdf5,1
615,605.505,emg_data.hdf5,1
616,615.784,emg_data.hdf5,1
617,621.123,emg_data.hdf5,1
618,616.787,emg_data.hdf5,1
619,610.827,emg_data.hdf5,1
620,611.848,emg_data.hdf5,1
621,612.177,emg_data.hdf5,1
622,609.166,emg_data.hdf5,1
623,603.714,emg_data.hdf5,1
624,596.081,emg_data.hdf5,1
625,588.884,emg_data.hdf5,1
626,588.159,emg_data.hdf5,1
627,592.905,emg_data.hdf5,1
628,597.883,emg_data.hdf5,1
629,594.863,emg_data.hdf5,1
630,591.818,emg_data.hdf5,1
631,592.345,emg_data.hdf5,1
632,594.316,emg_data.hdf5,1
633,592.840,emg_data.hdf5,1
634,590.372,emg_data.hdf5,1
635,592.724,emg_data.hdf5,1
636,598.159,emg_data.hdf5,1
637,595.261,emg_data.hdf5,1
638,591.903,emg_data.hdf5,1
639,584.015,emg_data.hdf5,1
640,575.345,emg_data.hdf5,1
641,568.601,emg_data.hdf5,1
642,565.701,emg_data.hdf5,1
643,565.509,emg_data.hdf5,1
644,571.165,emg_data.hdf5,1
645,577.349,emg_data.hdf5,1
646,584.832,emg_data.hdf5,1
647,592.753,emg_data.hdf5,1
648,602.157,emg_data.hdf5,1
649,609.707,emg_data.hdf5,1
650,613.342,emg_data.hdf5,1
651,614.339,emg_data.hdf5,1
652,613.159,emg_data.hdf5,1
653,615.288,emg_data.hdf5,1
654,618.354,emg_data.hdf5,1
655,619.533,emg_data.hdf5,1
656,602.638,emg_data.hdf5,1
657,582.956,emg_data.hdf5,1
658,577.642,emg_data.hdf5,1
659,585.885,emg_data.hdf5,1
660,596.024,emg_data.hdf5,1
661,598.146,emg_data.hdf5,1
662,595.179,emg_data.hdf5,1
663,592.080,emg_data.hdf5,1
664,590.072,emg_data.hdf5,1
665,574.132,emg_data.hdf5,1
666,553.311,emg_data.hdf5,1
667,538.387,emg_data.hdf5,1
668,540.436,emg_data.hdf5,1
669,557.294,emg_data.hdf5,1
670,570.971,emg_data.hdf5,1
671,575.625,emg_data.hdf5,1
672,576.954,emg_data.hdf5,1
673,584.841,emg_data.hdf5,1
674,593.416,emg_data.hdf5,1
675,591.719,emg_data.hdf5,1
676,589.470,emg_data.hdf5,1
677,594.865,emg_data.hdf5,1
678,598.720,emg_data.hdf5,1
679,596.431,emg_data.hdf5,1
680,596.592,emg_data.hdf5,1
681,600.076,emg_data.hdf5,1
682,608.223,emg_data.hdf5,1
683,606.951,emg_data.hdf5,1
684,602.651,emg_data.hdf5,1
685,601.642,emg_data.hdf5,1
686,601.396,emg_data.hdf5,1
687,597.613,emg_data.hdf5,1
688,590.625,emg_data.hdf5,1
689,584.994,emg_data.hdf5,1
690,578.593,emg_data.hdf5,1
691,571.901,emg_data.hdf5,1
692,574.990,emg_data.hdf5,1
693,588.515,emg_data.hdf5,1
694,594.375,emg_data.hdf5,1
695,587.700,emg_data.hdf5,1
696,577.539,emg_data.hdf5,1
697,573.329,emg_data.hdf5,1
698,571.368,emg_data.hdf5,1
699,569.478,emg_data.hdf5,1
700,570.106,emg_data.hdf5,1
701,569.291,emg_data.hdf5,1
702,569.428,emg_data.hdf5,1
703,571.881,emg_data.hdf5,1
704,578.749,emg_data.hdf5,1
705,586.992,emg_data.hdf5,1
706,594.638,emg_data.hdf5,1
707,602.397,emg_data.hdf5,1
708,608.510,emg_data.hdf5,1
709,619.516,emg_data.hdf5,1
710,636.312,emg_data.hdf5,1
711,647.366,emg_data.hdf5,1
712,650.114,emg_data.hdf5,1
713,649.018,emg_data.hdf5,1
714,646.078,emg_data.hdf5,1
715,642.666,emg_data.hdf5,1
716,647.392,emg_data.hdf5,1
717,645.965,emg_data.hdf5,1
718,623.024,emg_data.hdf5,1
719,580.668,emg_data.hdf5,1
720,550.281,emg_data.hdf5,1
721,541.584,emg_data.hdf5,1
722,543.785,emg_data.hdf5,1
723,549.178,emg_data.hdf5,1
724,551.596,emg_data.hdf5,1
725,550.636,emg_data.hdf5,1
726,542.478,emg_data.hdf5,1
727,532.063,emg_data.hdf5,1
728,529.735,emg_data.hdf5,1
729,534.825,emg_data.hdf5,1
730,545.502,emg_data.hdf5,1
731,559.077,emg_data.hdf5,1
732,571.504,emg_data.hdf5,1
733,583.727,emg_data.hdf5,1
734,598.836,emg_data.hdf5,1
735,609.932,emg_data.hdf5,1
736,619.447,emg_data.hdf5,1
737,623.531,emg_data.hdf5,1
738,628.589,emg_data.hdf5,1
739,633.450,emg_data.hdf5,1
740,634.862,emg_data.hdf5,1
741,634.037,emg_data.hdf5,1
742,621.813,emg_data.hdf5,1
743,609.581,emg_data.hdf5,1
744,597.357,emg_data.hdf5,1
745,584.934,emg_data.hdf5,1
746,577.118,emg_data.hdf5,1
747,569.911,emg_data.hdf5,1
748,564.018,emg_data.hdf5,1
749,562.192,emg_data.hdf5,1
750,568.797,emg_data.hdf5,1
751,572.794,emg_data.hdf5,1
752,569.980,emg_data.hdf5,1
753,567.785,emg_data.hdf5,1
754,570.058,emg_data.hdf5,1
755,579.119,emg_data.hdf5,1
756,589.406,emg_data.hdf5,1
757,590.711,emg_data.hdf5,1
758,576.758,emg_data.hdf5,1
759,559.528,emg_data.hdf5,1
760,552.453,emg_data.hdf5,1
761,560.046,emg_data.hdf5,1
762,573.802,emg_data.hdf5,1
763,586.625,emg_data.hdf5,1
764,592.126,emg_data.hdf5,1
765,596.067,emg_data.hdf5,1
766,599.254,emg_data.hdf5,1
767,603.573,emg_data.hdf5,1
768,608.303,emg_data.hdf5,1
769,605.721,emg_data.hdf5,1
770,597.158,emg_data.hdf5,1
771,589.158,emg_data.hdf5,1
772,588.271,emg_data.hdf5,1
